FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RYXOFG+Andalus;false;false;1.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1200;Die Rüstkammer
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;2.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Zauberstab aus SteineicheKomplexität
PDTrueTypeFont XEOKED+GentiumBasic;false;false;3.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;prim
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;4.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;NameKampftechnikTPL+S
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;5.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;800;AT/PA-Mod
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;6.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;RWGewichtLängePreis
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;7.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Zauberstab
PDTrueTypeFont XEOKED+GentiumBasic;false;false;8.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;(2H)Stangenwaffen1W6+2GE/KK 16–1/+2lang1 Stn150 HF380 S
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;9.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Waffenvorteil
PDTrueTypeFont XEOKED+GentiumBasic;false;false;10.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Der Stab ist resistent gegen Feuer. Sogar Drachenfeuer macht ihm nichts aus. Der Stabzauber Flammenschwert kostet bei der Aktivierung nur 2 statt 3 AsP und belegt nur 6 Punkte Volumen statt 7 (siehe
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;11.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Regelwerk
PDTrueTypeFont XEOKED+GentiumBasic;false;false;12.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Seite
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;13.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;270
PDTrueTypeFont XEOKED+GentiumBasic;false;false;14.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;).
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;15.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Waffennachteil
PDTrueTypeFont XEOKED+GentiumBasic;false;false;16.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Wird der Träger des Stabes von einem Blitz getroffen, gleich ob natürlichen Ursprungs oder von einer übernatürlichen Quelle wie einem Zauber oder einer Liturgie, so erleidet der durch den Stab zusätzlich +3 TP, selbst wenn er durch die Ursache eigentlich keinen Schaden erleiden würde.
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;17.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Normale Feuerstein- oder Vulkanglasdolche sind sprö
PDTrueTypeFont XEOKED+GentiumBasic;false;false;18.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;19.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;de und zerbrechen leichter im Kampf. Ist aber einmal das druidische Ritual Bindung des Dolches, das den Dolch an den Druiden bindet, auf sie gewirkt worden, sind sie unzerbrechlich und gelten als permanente ma
PDTrueTypeFont XEOKED+GentiumBasic;false;false;20.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;21.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;gische Waffe.
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;22.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;800;»Nur aus Stein? Bei Angrosch, weißt du denn nicht, wie scharf man den schleifen kann? Ein guter Feuersteindolch geht durch Stoff und Leder, als wär es warme Butter! Nur mit schwerer Rüstung hat er so seine Probleme. Also mach’s wie ich und trag ein Kettenhemd.«
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;23.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;—Arbosch Sohn des Angrax, ambosszwergischer Meisterschmied
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;24.0;22;-1.0;Rüstkammer_der_Streitenden_Königreiche;1300;Der Zauberstab aus Steineichenholz
