FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RYXOFG+Andalus;false;false;1.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1800;Werkzeug
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;2.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1300;Die Deichgabel
PDTrueTypeFont XEOKED+GentiumBasic;false;false;3.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;»
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;4.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;Sie haben eigenartige Dinge entwickelt in den Streitenden Königreichen, vor allem in Nostria. Diese Deichgabeln gehören für mich unbedingt dazu. Eigentlich sind das wohl Werkzeuge, aber sie gelten auch als Symbol der Freibauern am Meer. Steckt eine Deichgabel in einem Deich, kann man das Land straffrei sein Eigen nennen, wenn man den Deich denn dafür in Schuss hält. Was für eine Ungeheuerlichkeit! Das Land gehört in die Hände des Adels! Mancher Freibauer weiß diese Dinger als durchaus beeindruckende Waffe einzusetzen. Aber brauchen die Grafen von Ilmenstein wirklich eine Deichgabel in ihrer Waffensammlung? Oder mache ich mich dann vollends lächerlich?
PDTrueTypeFont XEOKED+GentiumBasic;false;false;5.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;«
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;6.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;—Joost Perschoff, Dienstmann der bornländischen Grafen von Ilmenstein, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;7.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;Die Deichgabel ist eigentlich ein Werkzeug, das vor allem in Nostria beim Bau und der Pflege von Deichen und Dämmen zum Einsatz kommt. Sie ist etwa einen Schritt lang und besteht aus einem etwa 60 Halbfinger langen Holzstiel, der meist aus Steineiche oder nostrischem Ahorn gefertigt ist, mit einem breiten, stark verdickten Ende. An der anderen Seite ist ein Eisensporn mit einer flachen Klin
PDTrueTypeFont XEOKED+GentiumBasic;false;false;8.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;9.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;ge und einer doppelt gezackten Spitze befestigt. Für ge
PDTrueTypeFont XEOKED+GentiumBasic;false;false;10.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;11.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;wöhnlich ist diese stumpf, aber weil viele Freibauern der Küste und des Seenlands die Deichgabel auch als impro
PDTrueTypeFont XEOKED+GentiumBasic;false;false;12.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;13.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;visierte Waffe einsetzen, werden die Kanten der Klinge gerne geschärft und die Dornen der Spitze verlängert.Als Werkzeug dient die Deichgabel vor allem dazu, Gras
PDTrueTypeFont XEOKED+GentiumBasic;false;false;14.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;15.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;soden oder Riedmatten auf den Deichen zu befestigen. Damit werden die Erdhügel davor geschützt, dass Wind, Wetter oder die Gezeiten die Dämme abtragen und aus
PDTrueTypeFont XEOKED+GentiumBasic;false;false;16.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;17.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;höhlen. Sind die Soden ausgelegt, kommen die Riedmat
PDTrueTypeFont XEOKED+GentiumBasic;false;false;18.0;19;-1.0;Rüstkammer_der_streitenden_Königreiche;1000;-
