FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XEOKED+GentiumBasic;false;false;1.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;»
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;2.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Das edelste, was unsere Handwerker hervorbringen, ist sicherlich die Turnierausrüstung eines angesehenen Freiherrn. Eine edle Rüstung, mit dem Wappen des Herrn dezent auf Schultergeschübe oder kraftvoll auf dem Kürass. Einen Schild, auf dem in allen heraldisch korrekten Farben das Wappen des Streiters prangt und den er aufhängen kann, um sich fordern zu lassen. Ein Turnierschwert, dem Spitze und Schärfe der Klingen fehlt, ein ebensolcher Zweihänder, sowie die Lanze, deren Wicklungen farbenfroh sein sollten, mit der Spitze kunstvoll gearbeitet. Das ist es, was neben allen Tugenden und seiner Ehre den Ritter von Stand und Ansehen ausmacht. Abgesehen von seinem edlen Streitross, das er in die Schranken lenken will und das mit einer stimmigen Schabracke versehen sein sollte, versteht sich.
PDTrueTypeFont XEOKED+GentiumBasic;false;false;3.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;«
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;4.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;—Wolorion von Kolburg, Turniermarschall Andergasts, neuzeitlich
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;5.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1300;Die Turnierlanze
PDTrueTypeFont XEOKED+GentiumBasic;false;false;6.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Die Turnierlanze ähnelt der Kriegslanze, allerdings ist sie aus leichterem Holz gefertigt, sodass sie beim Aufprall auf Schild oder Rüstung leichter zerbricht. Anstatt einer Spitze weist die Turnierlanze nur einen stumpfen Kopf auf, eine Kugel oder Platte oder ein sogenanntes Krönchen, um damit einen Gegner aus dem Sattel zu stoßen, ohne ihm allzu ernsthaften Schaden zuzufügen. Viele Turnierlanzen sind mit den Wappenfarben des Trägers bemalt. Auch das Krönchen wird gern fantasievoll ausgestaltet und vom Griff der Waffe wehen bunte Bänder.
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;7.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1300;Die Turnierrüstung
PDTrueTypeFont XEOKED+GentiumBasic;false;false;8.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Eine Turnierrüstung ist für gewöhnlich eine Plattenrüstung, schwer, sperrig und speziell für den Kampf auf dem Pferderücken gedacht. Ein Fußkämpfer kann diese Rüstung kaum sinnvoll tragen, denn ihr Gewicht und die hohe Behinderung, die eine solche Rüstung hervorruft, machen schon das Aufstehen zu einer kaum meisterbaren Herausforderung, geschweige denn ein Weiterkämpfen. Turnierrüstungen sind aber häu-
PDType0Font/PDCIDFontType2, PostScript name: UAGBKE+GentiumBasic;false;false;9.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;fig prachtvoll gehalten und
PDTrueTypeFont XEOKED+GentiumBasic;false;false;10.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;reich verzierte Erbstücke. Ihre Gestechhelme verfügen oft über prächtig ausgeformte Klappvisiere und eine Helmzier, die dem eigenen Wappentier oder dem des Königshauses nachempfunden ist. So sind Helme mit Hirschgeweihen in Nostria oder mit Stierhörnern in Andergast keine Seltenheit. Gestechrüstungen sind teuer, vor allem in den Streitenden Königreichen, wo nur wenig Eisenerz gefördert wird, das sich zum Bau solcher Rüstungen eignet. Entsprechend groß ist die Achtung und Sorgfalt, mit der man solche Stücke in den Adelsfamilien der Streitenden Königreiche behandelt, wo sie zum Teil über Jahrhunderte weitervererbt und voller Stolz getragen werden.
PDTrueTypeFont RYXOFG+Andalus;false;false;11.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1800;Turnierausrüstung
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;12.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;»So eine Turnierrüstung ist eine kostspielige Anschaffung. Aber so teuer es auch wird, Sparen ist hier fehl am Platz. Eine gute Verarbeitung kann Leben retten. Und erst die Reparaturkosten ... wer zu billig kauft, kauft zweimal, sag ich immer! Damit geht man am besten gleich zu einem fähigen Schmied, natürlich einem aus meinem Volk!«—Arbosch Sohn des Angrax, ambosszwergischer Meisterschied
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;13.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;TurnierlanzeKomplexität
PDTrueTypeFont XEOKED+GentiumBasic;false;false;14.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;einf
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;15.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;NameKampftechnikTPL+S
PDTrueTypeFont VBPYCH+GentiumBasic-Bold;true;false;16.0;17;-1.0;Rüstkammer_der_Streitenden_Königreiche;800;AT/PA-Mod
