FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RYXOFG+Andalus;false;false;1.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1200;Die Rüstkammer
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;2.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;Wegen seines brachialen Erscheinungsbildes und weil man mit weitreichenden Schwüngen der Waffe eine echte Zone von Tod und Verderben um sich herum er
PDTrueTypeFont XEOKED+GentiumBasic;false;false;3.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;4.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;schaffen kann, ist diese Waffe heute auch bei Doppel
PDTrueTypeFont XEOKED+GentiumBasic;false;false;5.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;6.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;söldnern aus Garetien, Almada oder dem Horasreich beliebt.Der Andergaster wird meist in der Gegend um Andrafall oder in der Stadt Andergast mit Erz aus dem Steinei
PDTrueTypeFont XEOKED+GentiumBasic;false;false;7.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;8.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;chenwald geschmiedet, der Eichhafener entsprechend im andergastischen Eichhafen und der Harmlyner (Nostria) ebenda. Auf Zierrat und Schnörkeleien wird aufgrund der Brüchigkeit des Andergaster Stahls häu
PDTrueTypeFont XEOKED+GentiumBasic;false;false;9.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;10.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;fig verzichtet. Dafür wehen häufig bunte und manchmal reich bestickte Bänder von der Parierstange, meist in den Farben des Dienstherrn oder des Reiches, für den oder das ihr Träger in den Kampf zieht.Besonders versierte Kämpfer mit dem Andergaster ver
PDTrueTypeFont XEOKED+GentiumBasic;false;false;11.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;12.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;stehen sich darauf, die Waffe nicht bloß am Griff zu fas
PDTrueTypeFont XEOKED+GentiumBasic;false;false;13.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;14.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;sen, sondern auch in der Fehlschärfe, an der Parierstan
PDTrueTypeFont XEOKED+GentiumBasic;false;false;15.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;-
PDType0Font/PDCIDFontType2, PostScript name: YZIQER+GentiumBasic;false;false;16.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;1000;ge, den Greifringen oder einer beliebigen Kombination daraus, wodurch sie ihr Kampfverhalten urplötzlich variieren und den Gegner auf diese Weise verwirren können.
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;17.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;»Der Andergaster ist lang, der Harmlyner ist noch länger. Wenn nicht in Nostria auch Frauen solche Waffen führen dürften, könnte man meinen, die Herren dort hätten was zu kompensieren.«
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;18.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;800;— Mirhiban al’Orhima, tulamidische Feuermagierin
PDTrueTypeFont LYRINM+GentiumBasic-Italic;false;true;19.0;8;-1.0;Rüstkammer_der_Streitenden_Königreiche;900;»Wer hat von allen das größte Schwert? Am Ende hat doch jeder Streit so angefangen.«
