FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;53.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;HilfsmittelGewichtPreisKomplexitätSonnenschutzschleier (Shamshal)
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;54.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;0,2 Stn10 Seinf
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;55.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Besondere Gegenstände GewichtPreisKomplexitätAnkhel-Hawwa
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;56.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;0,2 Stn25 S (Materialwert) / 600 Skomp. (2 AP)
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;57.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Esravun, das Sternenschwert des Mautaban
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;58.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;2 Stnunbezahlbarkeine
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;59.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Der Tausendjährige Zweihänder7
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;60.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Stnunbezahlbarkeine
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;61.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Der Schleier des Nebels
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;62.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;0,1 Stnunbezahlbarkeine
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;63.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Raschas Blutkelch
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;64.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;1,25 Stnunbezahlbarkeine
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;65.0;35;-1.0;Rüstkammer_der_Wüstenreiche;1000;Tafel der Lumnianer
