FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HGEFEU+Andalus;false;false;1.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1200;Die Rüstkammer
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;2.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Ferkina-FellrüstungKomplexität primArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisFerkina-Fellrüstung
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;3.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;0*0–1,5 Stn20 S
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;4.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Rüstungsvorteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;5.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die Fellrüstung bietet eine Kälteschutzstufe.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;6.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Rüstungsnachteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;7.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Der Träger der Fellrüstung erhält einen Abzug von –1 auf INI.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;8.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1300;Unauer Kompositbogen
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;9.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Die Beni Arrat haben sich auch nach all den Jahren noch immer nicht damit abgefunden, dass wir jetzt in der eins-
PDType0Font/PDCIDFontType2, PostScript name: HRXFYP+GentiumBasic-Italic;false;true;10.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;tigen Hauptstadt ihres Sultanats sitzen, verflucht sei ihr
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;11.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Stolz. Hin und wieder überfallen sie unsere Nachschubkarawanen oder versuchen es mit kleineren Angriffen bei Nacht. Aber das gefährlichste sind ihre berittenen Bogenschützen. Wenn du sie bemerkt hast, kann es schon zu spät sein.«—Miguel Ramirez, Söldner vom Schwarzen Bund des Kor in der Garnison von El Arrat, 1044 BF
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;12.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die Bewohner des Wüstenreichs sind ein Volk von Reitern und so sind auch ihre Bögen in einer Form gefertigt, dass sie sich ohne Schwierigkeiten auch vom Rücken eines Pferdes oder Kamels aus führen lassen. Der Unauer Kompositbogen ist deutlich kürzer als ein Langbogen, besitzt aber eine ähnliche Spannkraft. Erzielt wird diese, indem bei der Fertigung mehrere unterschiedliche Materialen, neben Holz meist Horn und Sehnen, miteinander verbunden werden. Der Kompositbogen gilt als verlässliche und robuste Fernkampfwaffe, die auch das raue Wüstenklima gut verträgt. Unter den Stämmen der Wüste ist der Bogen weit verbreitet und auch die berittenen Schützen des Kalifen sind mit dieser Waffe ausgerüstet.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;13.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Unauer KompositbogenKomplexität komp (4 AP)NameKampftechnikTPLZRWMunitionstypGewichtLängePreisUnauer Kompositbogen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;14.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Bögen1W6+72 Aktionen20/100/160Pfeile0,75 Stn140 HF160 S
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;15.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffenvorteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;16.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die aus der Entfernung zum Ziel resultierende Erschwernis sinkt um –1 (nicht aber unter 0).
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;17.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffennachteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;18.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;In Wäldern, die als schwierige oder schlechtere Geländetypen eingestuft werden (siehe
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;19.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Regelwerk
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;20.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Seite
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;21.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;349
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;22.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;), erleiden Schützen mit dem Kompositbogen eine zusätzliche Erschwernis von +2.
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;23.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Der Gedanke, verschiedene Materialien miteinander zu verbinden, zeugt von Weitsicht. Aber es fehlt die Harmonie, die aus Vielem Eines schafft.«—
PDType0Font/PDCIDFontType2, PostScript name: HRXFYP+GentiumBasic-Italic;false;true;24.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Layariel Wipfelglanz, elfische Auenläuferin
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;25.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Ja, ja, das schon wieder ... Wenn so ein Ding dich erwischt, siehst du schnell, wie harmonisch dein Körper wieder eins mit dem Grund wird.«—Arbosch Sohn des Angrax, ambosszwergischer Meisterschmied
PDTrueTypeFont HGEFEU+Andalus;false;false;26.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1800;Rüstzeug
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;27.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1300;Ferkina-Fellrüstung
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;28.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Eine Rüstung aus Fell kann dich im Kampf schützen und dem Hieb einer Keule oder dem Stich eines Dolchs seine Wucht nehmen. Aber für den Ort, an den du gehen willst, brauchst du mehr als das. Diese Rüstung ist verstärkt mit dem Panzer des großen haraishazhwad. Durch sie wirst du lange genug am Leben bleiben, um dein Ziel zu erreichen.«—Farzandeh sabu Zhandur, Waffenbauerin der Bân Sharîda, 1045 BF
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;29.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die Krieger der Ferkinas hüllen sich in Rüstungen aus Fell, die nicht nur gegen die Waffen ihrer Feinde, sondern auch vor den kalten Gebirgsnächten schützen. Eine gut gefertigte Fellrüstung besteht aus mehreren aneinandergenähten Fellstücken, die so angeordnet sind, dass sie die verletzlichen Körperteile bedecken und gleichzeitig dem Träger eine hohe Beweglichkeit bieten. Einige Stämme sind dazu übergegangen, die Fellrüstungen zusätzlich durch auf Leder aufgenähte Knochen- und Panzerplatten zu verstärken. Es gibt sogar Rüstungen, die größtenteils aus solchen Resten bestehen, die bestmöglich an die Körperform des Trägers angepasst wurden und nur an den Gelenken mit Fellstücken ausgepolstert sind.
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;30.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Das sieht wirklich interessant aus. Einfach, aber mit großer Sorgfalt hergestellt.«—
PDType0Font/PDCIDFontType2, PostScript name: HRXFYP+GentiumBasic-Italic;false;true;31.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Layariel Wipfelglanz, elfische
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;32.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Auenläuferin»Nichts gegen einen verlässlichen Fellumhang, aber das sieht seltsam aus. Und dieser Teil ist doch sicher kein Fell. Von welchem
PDType0Font/PDCIDFontType2, PostScript name: HRXFYP+GentiumBasic-Italic;false;true;33.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;Tier das wohl stammt?«
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;34.0;16;-1.0;Rüstkammer_der_Wüstenreiche;1000;—Tjalva Garheltdottir, Premer Hetja
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;1.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Lederrüstung der Beni Geraut SchieKomplexität einfArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisLederrüstung der Beni Geraut Schie
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;2.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;31–1 GS, –1 INI7 Stn180 S
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;3.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Rüstungsvorteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;4.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;5.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Hiebwaffen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;6.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;,
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;7.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Kettenwaffen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;8.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;,
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;9.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Raufen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;10.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;,
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;11.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Schilde
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;12.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;,
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;13.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Stangenwaffen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;14.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;und
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;15.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Zweihandhiebwaffen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;16.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;schützt die Rüstung mit einem RS von 4.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;17.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Rüstungsnachteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;18.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;Proben auf GE sind um –1 erschwert.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;19.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1300;Lederrüstung der Beni Geraut Schie
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;20.0;17;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Und aus dem dichten Sandsturm traten, wie Schatten aus dem Sand, die Söhne derer ohne Gesicht. Unter ihren Gewändern trugen sie lederne Rüstungen, die wie eine zweite Haut waren. Die Männer und Frauen der verirrten Karawane erschraken, aber die Verhüllten sprachen kein Wort. Sie ließen drei Schläuche mit kühlem Wasser zurück. Dann verschwanden sie wieder in den Sturm.«—aus einem Märchen aus der südlichen Khôm, seit vielen Generationen in verschiedenen Varianten verbreitet
