FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HGEFEU+Andalus;false;false;1.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1200;Die Rüstkammer
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;2.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1300;Allgemeines zu Talismanen
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;3.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDType3Font null;false;false;4.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;*
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;5.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;6.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Talismane sind unzerbrechlich.
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;7.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDType3Font null;false;false;8.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;*
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;9.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;10.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Talismane können entweder in der Hand eines Geweihten der passenden Tradition durch Karmaenergie aktiviert werden oder durch den Einsatz eines Schicksalspunkts. Dabei muss allerdings die Gottheit ihr bzw. das Pantheon sein Einverständnis geben, was einen Missbrauch durch Schurken verhindert, aber durchaus auch Nichtgläubigen den Einsatz im Sinne der göttlichen Ideale ermöglicht.
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;11.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDType3Font null;false;false;12.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;*
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;13.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;14.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Um die genaue Wirkung zu bestimmen, würfeln Talismane mit einem FW von 18 gegen 14/14/14.
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;15.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDType3Font null;false;false;16.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;*
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;17.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;18.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Talismane können durch (namenlose, dämonische) Rituale entweiht werden. Danach kann man sie zerstören.
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;19.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDType3Font null;false;false;20.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;*
PDType1CFont EKJNIV+TheDarkEyeRegular;false;false;21.0;20;-1.0;Rüstkammer_der_Wüstenreiche;700;
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;22.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Extrem mächtige (namenlose, dämonische) Rituale können Talismane auch pervertieren.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;23.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1300;Eisenrost
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;24.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Der Zauber lässt ein metallenes Objekt schlagartig verrosten, was es spröde und zerbrechlich macht.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;25.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Probe
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;26.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;KL/CH/GE
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;27.0;20;-1.0;Rüstkammer_der_Wüstenreiche;1000;Wirkung
