FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;1.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1300;Waffen gegen Vielbeinige
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;2.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Nun, da das Zeitalter der Rache angebrochen ist, agieren die Gigantulae und ihre Verbündeten nicht mehr im Verborgenen. Sie sind allen Bewohnern der Wüste gegenüber feindselig gesonnen und betrachten sie entweder als direkte Bedrohung, Nahrung oder Brutstätte. Ihre Verschlagenheit, die kaum zu durchdringenden
PDType0Font/PDCIDFontType2, PostScript name: LXVDCH+GentiumBasic;false;false;3.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Chitinpanzer und die finsteren Kräfte der Königinnen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;4.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;und ihrer Priesterinnen machen es für die Verteidiger der Wüste notwendig, nach neuen Materialien für den langen Kampf um die Khôm zu forschen.Selbst die Thalushim des östlichen Kalifats sind nicht sicher vor der neuen Bedrohung, da sie nicht zuletzt wegen der Bernsteinvorkommen der fruchtbaren Wälder in den politischen Sog der Ereignisse gezogen werden. Wo sich Feinde erheben, sind jedoch auch Mächte des Guten zur Stelle und so fügt es sich im Laufe des Abenteuers rund um die
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;5.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Königin der Tränen
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;6.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;, dass neue Waffen entdeckt werden, die sich für den heldenhaften Kampf gegen die Vielbeinigen anbieten.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;7.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1300;Dschadra Al’Abrah, die Träne Rastullahs
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;8.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Verliert euren Glauben nicht, Brüder und Schwestern. Rastullah hat uns die Lanze der Tränen geschenkt, um uns gestärkt in den Kampf zu senden. Es mag uns wie
PDType0Font/PDCIDFontType2, PostScript name: HRXFYP+GentiumBasic-Italic;false;true;9.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;eine finstere Zeit erscheinen, doch es ist eine Probe, an deren Ende wir zu ihm finden, an deren Ende wir dem All-Ei
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;10.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;-nen ein Stück näher sind. Wir müssen diesen Weg gemeinsam gehen. Das zeigte uns der Herr auch mit seinem Geschenk – es ist kein Schwert oder Speer, den einer tragen kann. Es ist eine Lanze, mit der wir nur gemeinsam kämpfen können. Und das ist es, was er von uns erwartet! Gemeinsam diesen Feind zu bezwingen, als Volk!«—Yazemin saba Rastullah im Disput über das Wesen der Dschadra Al’Abrah, 1046 BF
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;11.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Im Jahr 1045 BF wirkte die Lage der Novadis fast ausweglos. Ganze Sippen verschwanden in den Nestern der Vielbeinigen und viele Anführer ließen ihr Leben. Die Reise durch die Khôm – ohnehin schon ein gefährliches Unterfangen – konnte sich allzu leicht in eine tödliche Irrfahrt verwandeln. Der Kampf gegen die vielbeinigen Häscher ist zwar noch nicht gewonnen, doch mitten in der Khôm, im Nest einer verderbten Königin, als die Aussicht am düstersten war, ereignete sich ein Wunder: Rastullah erwählte die fromme Frau Yazemin zu seiner Prophetin und schenkte ihr und den anderen Gläubigen die Dschadra al’Abrah, die Lanze der Tränen. Die im Nest Gefangenen weinten und beteten gemeinsam mit Yazemin. Rastullah nahm ihre Tränen und formte daraus eine Waffe von gleißender Schönheit.Die heilige Waffe ist lang wie ein Drachentöter, besitzt eine Spitze, die an einen achteckigen Diamanten erinnert und strahlt ein subtiles Leuchten aus. Bereits der Schein der prächtigen Lanze fügt den Vielbeinigen erhebliche Schmerzen zu und ihre Klinge reißt tiefe Wunden in die Haut der monströsen Wesen.Die Lanze ist zu groß, um von einer Person allein geführt zu werden. Ihr Einsatz im Kampf benötigt neun Personen, die sie mit vereinten Kräften tragen, wobei der Vorderste die Führung übernimmt. Dabei ist sie ein prächtiges Sinnbild für das, was Rastullah von den Seinen erwartet: Gemeinschaft und den Mut, sich dem Feind gemeinsam entgegenzustellen.Die Dschadra Al’Abrah ist nicht auf ihre Funktion als Waffe begrenzt – Rastullah kann durch sie direkt wirken und ließ mit ihr die Oase Khabîra aus der Wüste entstehen. Was die Lanze bewirken kann, liegt jedoch vor allem im Ermessen des All-Einen.Obwohl es durch die Dschadra al’Abrah gelang, das Nest einer Königin auszulöschen, lebt der Boden unter der Khôm weiterhin. Die Vielbeinigen sind allgegenwärtig und niemand kann sagen, wie viele noch dort draußen lauern. So kann die Dschadra al’Abrah gerufen werden, um sich mit ihr den Vielbeinigen entgegenzustellen. Bisher gelang dies nur der Prophetin Yazemin saba Rastullah, aber es ist nicht auszuschließen, dass sich die Lanze auch durch die Gebete anderer Gläubiger im See der Oase Khabîra erbitten lässt. Die Prophetin ist gewillt, die Lanze frommen
PDTrueTypeFont HGEFEU+Andalus;false;false;12.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1800;Waffen im Zeitalter der Rache
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;13.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Dschadra al’AbrahBeschreibung
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;14.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;eine tröstlich leuchtende, geweihte Lanze, die von 9 Personen geführt werden muss, die Rastullahs Werk tun wollen<br> sie besteht aus Tränen des Gottes und seiner Gläubigen und bewahrt nur ihre kriegerische Form, wenn sie für den rechten Zweck in den Kampf geführt wird
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;15.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisDschadra al’Abrah
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;16.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Lanzen2W20+9GE/KK 14+4*/–3lang1,5 Stn800 HFunbezahlbar
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;17.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Anmerkung
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;18.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die Waffe gilt als heilige Waffe des Rastullah und muss von 9 Kämpfern gemeinsam geführt werden, wobei die Probe vom vordersten Kämpfer abgelegt wird. Die Waffe leuchtet von Innen mit heiligem Licht und erhellt 9 Rechtschritt mit der Stärke eines Lagerfeuers. Ignoriert den Rüstungsschutz von vielbeinigen Kreaturen. Soll sie gegen andere Ziele als Vielbeinige
PDType0Font/PDCIDFontType2, PostScript name: VPQTLN+GentiumBasic;false;false;19.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;(im Gefolge) der Gigantulae oder in nicht rastullahgefälliger Art geführt werden, zerfließt
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;20.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;sie zu Tränen und lässt sich nicht nutzen.*) Die Erhöhung des AT-Wertes hängt von der Anzahl der begleitenden zu Rastullah Betenden ab. Pro vollen 3 Betenden steigt der Wert um 1 bis zu einem Maximum von +4.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;21.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffenvorteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;22.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;keiner
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;23.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffennachteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;24.0;23;-1.0;Rüstkammer_der_Wüstenreiche;1000;keiner
PDTrueTypeFont HGEFEU+Andalus;false;false;1.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1200;Die Rüstkammer
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;2.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;und dem Volke Rastullahs wohlgesonnen Abenteurern zu überlassen, wenn sie diese im Kampf gegen die Vielbeinigen tragen. Tritt man mit diesem Gesuch an sie heran, kann man sich sicher sein, freundlich, aber eingehend geprüft zu werden. Oft begleiten Kriegerinnen und Krieger der Oase oder sogar Yazemins Gatte Kasim selbst solche Unterfangen. Auch die Prophetin hat man schon an der Seite der Kämpfenden gesehen, wobei sie selbst keine Waffen trägt, sondern den Tapferen mit Gebeten, taktischen Ratschlägen oder anderer Unterstützung hilft.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;3.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1300;Bernstein
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;4.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Bernstein wirkt auf viele Insektenwesen verletzend. Im Fall der Gigantulae behindern größere Mengen die erfolgreiche Entwicklung der Brut und somit die Organisation des Nests. Mit dem
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;5.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Ton’Kemla
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;6.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;wurde eine alchimistische Paste entwickelt, die aus einer Basis aus Asche, Fett und dem zermahlenen Halbedelstein hergestellt wird und als Waffengift nutzbar ist, das auf Vielbeinige ähnlich wirkt wie eine Mischung aus Kelmon und Bannstaub.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;7.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1300;Ton’Kemla
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;8.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Dieses Waffengift ist ein Meisterwerk der kooperativen Feldforschung. Im Kampf gegen insektoide Ungeheuer ist es unabdinglich, wirkt es doch gleichzeitig als lähmendes Gift und Geißel der Zauberkraft.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;9.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Stufe
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;10.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;QS
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;11.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Art
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;12.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffengift, alchimistisch
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;13.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Widerstand
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;14.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Zähigkeit
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;15.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Wirkung
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;16.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Die vielbeinige Kreatur verliert sofort 5W6+10 AsP und kann 1W3+3 Tage lang keine AsP regenerieren, 4W6 SP<br> 3 Stufen
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;17.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Paralyse
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;18.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;/ Die vielbeinige Kreatur verliert sofort 3W6+6 AsP und kann 1W2+1 Tage lang keine AsP regenerieren, 2W6 SP, 2 Stufen
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;19.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Paralyse
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;20.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Beginn
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;21.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;sofort
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;22.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Dauer
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;23.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;30 Minuten / 15 Minuten
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;24.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Wert/Preis
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;25.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;60 S pro Stufe / 80 S pro Stufe
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;26.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Typische Ingredienzien
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;27.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;Asche,
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;28.0;24;-1.0;Rüstkammer_der_Wüstenreiche;1000;
