FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont HGEFEU+Andalus;false;false;1.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1800;Waffen
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;2.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Amadah-WaqqifKomplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisAmadah-Waqqif
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;3.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Dolche1W6+2GE 150/0kurz0,5 Stein45 HF80 S
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;4.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffenvorteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;5.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Rüstungen mit RS 2 und weniger erhalten einen Malus von –1 RS.
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;6.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Waffennachteil
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;7.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Mit dem Waqqif kann das Manöver
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;8.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Präziser Stich
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;9.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;um –1 erschwert durchgeführt werden.
PDTrueTypeFont HGEFEU+Andalus;false;false;10.0;7;-1.0;Rüstkammer_der_Wüstenreiche;3100;DIE RÜSTKAMMER
PDTrueTypeFont MINKVK+GentiumBasic-Bold;true;false;11.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1300;Amadah-Waqqif
PDTrueTypeFont FABUBY+GentiumBasic-Italic;false;true;12.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;»Du hast deine Amadah erfolgreich bestanden, deine Tapferkeit und deine Fähigkeiten bewiesen. Vor dem gesamten Stamm sei verkündet: Du hast dich als würdig erwiesen. Trage diesen Waqqif stolz und mache deiner Familie und deinem Stamm auch in Zukunft Ehre.«—aus der Amadah-Zeremonie der Novadi Isha saba Abrizah von den Beni Ankahra, 1045 BF
PDTrueTypeFont KFOYTO+GentiumBasic;false;false;13.0;7;-1.0;Rüstkammer_der_Wüstenreiche;1000;Wenngleich er äußerlich wie ein Zierdolch erscheint, lässt sich die Bedeutung, die ein Waqqif für die Kinder der Wüste hat, gar nicht hoch genug einschätzen. Nach erfolgreicher Amadah-Prüfung erhalten Novadis als Zeichen der Reife ihren persönlichen Waqqif, den sie bis zum Tod tragen. Der leicht gekrümmte Dolch wird gewöhnlich von einem Schmied der eigenen Sippe hergestellt und fortan zum täglichen Begleiter seines Trägers, der in allen Lebenslagen aushilft. Der Amadah-Waqqif dient nicht nur als Werkzeug für alltägliche Aufgaben wie etwa Handwerk oder Essen, sondern kommt auch weniger alltäglich bei gewaltsamen Auseinandersetzungen zum Einsatz, etwa um einem sterbenden Gegner im Zweikampf den Gnadenstoß zu versetzen. Selbst in Zeiten der Not würde kein Novadi seinen Amadah-Waqqif freiwillig aufgeben. Einzig bei der Zeremonie des Blutsbunds, der Zulquh, tauschen die Beteiligten bis zum Ende der Zeremonie ihre Dolche.
