FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;1.0;13;-1.0;Schirm;1000;Beispiel: Geron leidet an 3 Stufen
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;2.0;13;-1.0;Schirm;1000;Berauscht
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;3.0;13;-1.0;Schirm;1000;und erhält 2 weitere Stufen hinzu. Damit kommt er auf insgesamt 5 Stufen. Ab Stufe IV werden 4 Stufen
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;4.0;13;-1.0;Schirm;1000;Berauscht
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;5.0;13;-1.0;Schirm;1000;in 1 Stufe
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;6.0;13;-1.0;Schirm;1000;Betäubung
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;7.0;13;-1.0;Schirm;1000;umgewandelt. Er hat also aktuell 1 Stufe
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;8.0;13;-1.0;Schirm;1000;Betäubung
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;9.0;13;-1.0;Schirm;1000;und noch 1 verbleibende Stufe
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;10.0;13;-1.0;Schirm;1000;Berauscht
PDTrueTypeFont QAYYKH+GentiumBasic-Italic;false;true;11.0;13;-1.0;Schirm;1000;.
PDTrueTypeFont OKBMIL+Andalus;false;false;12.0;13;-1.0;Schirm;1800;Aventurische Alkoholika
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;13.0;13;-1.0;Schirm;1000;Während sich Fjarninger, Orks und Ferkinas mit vergorener Milch und anderen eher fragwürdigen Erzeugnissen der Braukunst begnügen, ist das Handwerk der Brauer, Winzer und Brenner in den zivilisierteren Regionen vielerorts zu einer wahren Kunst entwickelt worden. So kann der Gaumen des Feinschmeckers von Dutzenden von Bieren, Weinen und Spirituosen gekitzelt werden. Wir möchten dir an dieser Stelle eine Übersicht über viele bekannte Biere, Weine und Schnäpse verschaffen.
PDType0Font/PDCIDFontType2, PostScript name: VAYBWD+GentiumBasic;false;false;14.0;13;-1.0;Schirm;1000;Die Auflistung ist aber keineswegs vollständig, da fast in
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;15.0;13;-1.0;Schirm;1000;jeder Ortschaft regionale Alkoholika gebraut, gekeltert oder gebrannt werden.
PDTrueTypeFont IBZCCX+GentiumBasic-Bold;true;false;16.0;13;-1.0;Schirm;1300;Biere
PDTrueTypeFont IBZCCX+GentiumBasic-Bold;true;false;17.0;13;-1.0;Schirm;1000;• Alt-Angbarer Starkbier
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;18.0;13;-1.0;Schirm;1000;Dieses von den Hügelzwergen Angbars gebraute Starkbier ist kräftig und dunkel. Es gilt als besonders berauschend und sättigend.
PDTrueTypeFont IBZCCX+GentiumBasic-Bold;true;false;19.0;13;-1.0;Schirm;1000;• Amazonenbier
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;20.0;13;-1.0;Schirm;1000;Das ursprünglich aus Beilunk stammende Amazonenbier erstrahlt geradezu in einem kräftigen Gelbton, da ihm Safran beigemengt ist. Es ist eine echte Rarität und entsprechend teuer und selten.
PDTrueTypeFont IBZCCX+GentiumBasic-Bold;true;false;21.0;13;-1.0;Schirm;1000;• Angbarer Zwergenbock
PDTrueTypeFont ZLOAGP+GentiumBasic;false;false;22.0;13;-1.0;Schirm;1000;Dieses helle und sehr bittere obergärige Bier gilt als eines der stärksten Biere Aventuriens. Es wird hauptsächlich von Angroschim getrunken.
PDTrueTypeFont IBZCCX+GentiumBasic-Bold;true;false;23.0;13;-1.0;Schirm;1000;• Beraner Goldweizen
