FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont WUSDBV+Andalus;false;false;1.0;38;-1.0;Strassenstaub_und_Halsabschneider;1200;Strassenraub & Halsabschneider
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;2.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;WaffenzubehörGegenstandGewichtStrukturpunktePreisKomplexitätBogensehne
PDTrueTypeFont SOUFXD+GentiumBasic;false;false;3.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;0,05 Stn21 Sprim
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;4.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Dolchscheide
PDTrueTypeFont SOUFXD+GentiumBasic;false;false;5.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;0,25 Stn105 Sprim
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;6.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Köcher, für 20 Pfeile oder Bolzen
PDTrueTypeFont SOUFXD+GentiumBasic;false;false;7.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;0,75 Stn1215 Sprim
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;8.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Pfeile/Bolzen/Kugeln
PDTrueTypeFont QLVTVH+GentiumBasic-Italic;false;true;9.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;0,4/0,2/0,5 S
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;10.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Schwertscheide
PDTrueTypeFont SOUFXD+GentiumBasic;false;false;11.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;0,75 Stn1012 Sprim
PDTrueTypeFont VVIXNX+GentiumBasic-Bold;true;false;12.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Unterkleidung für Metallrüstungen
PDTrueTypeFont SOUFXD+GentiumBasic;false;false;13.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;2,5 Stn512 Sprim
PDType0Font/PDCIDFontType2, PostScript name: TYRCKG+GentiumBasic-Bold;true;false;14.0;38;-1.0;Strassenstaub_und_Halsabschneider;1000;Waffenpflegeset (Schleifstein, Tücher)
