FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont CTAEGK+Andalus;false;false;101.0;155;-1.0;Weltenwanderer;1800;Neue magische Sonderfertigkeiten
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;102.0;155;-1.0;Weltenwanderer;1300;Geübter Weltenwanderer
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;103.0;155;-1.0;Weltenwanderer;1000;Durch Routine im Weltenwandern und kleine, zielabhängige Änderungen am Ritualablauf ist der Sphären-
PDType0Font/PDCIDFontType2, PostScript name: GOXBUC+GentiumBasic;false;false;104.0;155;-1.0;Weltenwanderer;1000;reisende resistenter gegenüber schädlichen Einflüssen
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;105.0;155;-1.0;Weltenwanderer;1000;von Globulen. Er versetzt Körper und Geist vor dem Betreten eines Sphärentors in Anspannung und höchste Konzentration, um sich schnellstmöglich an die neuen Umstände anzupassen.
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;106.0;155;-1.0;Weltenwanderer;1000;Regel
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;107.0;155;-1.0;Weltenwanderer;1000;Beim Betreten einer Globule legt der Held eine Probe auf
PDTrueTypeFont UHZIYA+GentiumBasic-Italic;false;true;108.0;155;-1.0;Weltenwanderer;1000;Sphärenkunde
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;109.0;155;-1.0;Weltenwanderer;1000;ab, die um –3 erschwert ist, wenn das Ziel noch nicht besucht wurde. Für je 2 volle QS sinken die üblichen Mali der Globule um 1.
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;110.0;155;-1.0;Weltenwanderer;1000;Voraussetzung
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;111.0;155;-1.0;Weltenwanderer;1000;IN 13, KO 13, Sphärenkunde 7
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;112.0;155;-1.0;Weltenwanderer;1000;AP-Wert
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;113.0;155;-1.0;Weltenwanderer;1000;10 Abenteuerpunkte
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;114.0;155;-1.0;Weltenwanderer;1300;Derenanker
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;115.0;155;-1.0;Weltenwanderer;1000;Besonders erfahrene Zauberer sind dazu in der Lage, die Gesetzmäßigkeiten, wie Schwerkraft, Atmosphäre und Temperatur der eigenen Heimat an sich zu binden und in einer fremden Globule wirken zu lassen.
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;116.0;155;-1.0;Weltenwanderer;1000;Regel
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;117.0;155;-1.0;Weltenwanderer;1000;Der Zauberer kann innerhalb einer Globule eine Probe auf
PDTrueTypeFont UHZIYA+GentiumBasic-Italic;false;true;118.0;155;-1.0;Weltenwanderer;1000;Willenskraft
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;119.0;155;-1.0;Weltenwanderer;1000;ablegen, um für 10 Minuten QS Schritt um sich herum die Naturgesetze seiner Herkunftsglobule (oder Deres) wirken zu lassen. Dies be-
PDType0Font/PDCIDFontType2, PostScript name: GOXBUC+GentiumBasic;false;false;120.0;155;-1.0;Weltenwanderer;1000;deutet, dass Modifikatoren, die innerhalb einer Globule
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;121.0;155;-1.0;Weltenwanderer;1000;wirken, in dieser Zone ignoriert werden. Der Einsatz dieser Fertigkeit verursacht eine Stufe Betäubung.
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;122.0;155;-1.0;Weltenwanderer;1000;Voraussetzung
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;123.0;155;-1.0;Weltenwanderer;1000;Vorteil Zauberer, Leiteigenschaft 15, Sphärenkunde 12, Magiekunde 12, Sonderfertigkeit Geübter Weltenwanderer
PDTrueTypeFont NQDHNT+GentiumBasic-Bold;true;false;124.0;155;-1.0;Weltenwanderer;1000;AP-Wert
PDTrueTypeFont LNEVLX+GentiumBasic;false;false;125.0;155;-1.0;Weltenwanderer;1000;20 Abenteuerpunkte
