FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont OLOBRR+Andalus;false;false;1.0;156;-1.0;Weltenwanderer;1800;Neue Vorteile
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;2.0;156;-1.0;Weltenwanderer;1300;Sphärennahrung
PDTrueTypeFont DUGFON+GentiumBasic;false;false;3.0;156;-1.0;Weltenwanderer;1000;Manche Abenteurer haben die seltene Gabe lebensnotwendige Nährstoffe, welche ihr Körper braucht, as-
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;4.0;156;-1.0;Weltenwanderer;1000;traler Strahlung zu entnehmen, wie sie am häufigsten im Limbus oder auch Globulen vorzufinden ist. Diese Fähigkeit tritt am häufigsten auf, wenn sich magische Wesen in der Ahnenlinie befinden, kann aber in einigen Fällen auch durch zu häufige Reisen durch die Sphären auftreten.
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;5.0;156;-1.0;Weltenwanderer;1000;Regel
PDTrueTypeFont DUGFON+GentiumBasic;false;false;6.0;156;-1.0;Weltenwanderer;1000;Solange sich der Held in einer Globule aufhält,
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;7.0;156;-1.0;Weltenwanderer;1000;muss er weder essen noch trinken.
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;8.0;156;-1.0;Weltenwanderer;1000;Voraussetzung
PDTrueTypeFont DUGFON+GentiumBasic;false;false;9.0;156;-1.0;Weltenwanderer;1000;keine
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;10.0;156;-1.0;Weltenwanderer;1000;AP-Wert
PDTrueTypeFont DUGFON+GentiumBasic;false;false;11.0;156;-1.0;Weltenwanderer;1000;5 Abenteuerpunkte
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;12.0;156;-1.0;Weltenwanderer;1300;Limbussinn
PDTrueTypeFont DUGFON+GentiumBasic;false;false;13.0;156;-1.0;Weltenwanderer;1000;Einige Helden verspüren ihr gesamtes Leben lang an besonderen Orten ein Kribbeln auf ihrer Haut, welches die meisten auf eine ungezügelte Neugier schieben wür-
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;14.0;156;-1.0;Weltenwanderer;1000;den. Tatsächlich handelt es sich hierbei um eine be
PDTrueTypeFont DUGFON+GentiumBasic;false;false;15.0;156;-1.0;Weltenwanderer;1000;-sondere Gabe, welche es erlaubt, bereits sehr schwache
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;16.0;156;-1.0;Weltenwanderer;1000;Schwankungen in der Dichte astraler Strahlung wahr
PDTrueTypeFont DUGFON+GentiumBasic;false;false;17.0;156;-1.0;Weltenwanderer;1000;-
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;18.0;156;-1.0;Weltenwanderer;1000;zunehmen, welche am häufigsten bei Limbustoren auftritt.
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;19.0;156;-1.0;Weltenwanderer;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;20.0;156;-1.0;Weltenwanderer;1000;Der Abenteurer ist in der Lage ein Tor in den Limbus, oder aus ihm heraus zu spüren. Sollte sich ein solches Tor in der Nähe befinden, kann es mit
PDTrueTypeFont DUGFON+GentiumBasic;false;false;21.0;156;-1.0;Weltenwanderer;1000;einer Probe auf
PDTrueTypeFont GUSFJH+GentiumBasic-Italic;false;true;22.0;156;-1.0;Weltenwanderer;1000;Sinnesschärfe (Wahrnehmung)
PDTrueTypeFont DUGFON+GentiumBasic;false;false;23.0;156;-1.0;Weltenwanderer;1000;wahr-
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;24.0;156;-1.0;Weltenwanderer;1000;genommen werden.
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;25.0;156;-1.0;Weltenwanderer;1000;Voraussetzung
PDTrueTypeFont DUGFON+GentiumBasic;false;false;26.0;156;-1.0;Weltenwanderer;1000;keine
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;27.0;156;-1.0;Weltenwanderer;1000;AP-Wert
PDTrueTypeFont DUGFON+GentiumBasic;false;false;28.0;156;-1.0;Weltenwanderer;1000;5 Abenteuerpunkte
PDTrueTypeFont OLOBRR+Andalus;false;false;29.0;156;-1.0;Weltenwanderer;1800;Neue Nachteile
PDTrueTypeFont FXFRQJ+GentiumBasic-Bold;true;false;30.0;156;-1.0;Weltenwanderer;1300;Limbus-Medium I-II
PDType0Font/PDCIDFontType2, PostScript name: JSMSJB+GentiumBasic;false;false;31.0;156;-1.0;Weltenwanderer;1000;Während viele Helden, insbesondere Zauberer, bei Rei
