active;publication;path;pdfName;topic;startPage;startAfterLine;endPage;endAfterLine;nameSize;dataSize;strategyMapping;fileAffix
false;Basisregelwerk;01 - Regeln/Regelwerk (152);Regelwerk - 01 - Regeln.pdf;IMG;;;;;;;;
false;Almanach_der_Ungeheuer;00 - Fluff/Almanach der Ungeheuer (177);Almanach der Ungeheuer - 00 - Fluff.pdf;IMG;;;;;;;;
false;Catalogus_Heptaspharicum;00 - Fluff/Catalogus Heptasphaericum (198);Catalogus Heptasphaericum - 00 - Fluff.pdf;IMG;;;;;;;;
false;Dossier_der_Erleuchteten;00 - Fluff/Dossier der Erleuchteten (214);Dossier der Erleuchteten - 00 - Fluff.pdf;IMG;;;;;;;;
false;Eynmaleyns_der_Kreutherkunde;00 - Fluff/Eynmaleyns der Kreutherkunde (120);Eynmaleyns der Kreutherkunde - 00 - Fluff.pdf;IMG;;;;;;;;
false;Archiv_der_Ausrüstung;01 - Regeln/Archiv der Ausrustung (196);Archiv der Ausrustung - 01 - Regeln.pdf;IMG;;;;;;;;
false;Archiv_der_Dämonen;01 - Regeln/Archiv der Damonen (178);Archiv der Damonen - 01 - Regeln.pdf;IMG;;;;;;;;
false;Archiv_der_Kräuter;01 - Regeln/Archiv der Krauter (185);Archiv der Krauter - 01 - Regeln.pdf;IMG;;;;;;;;
false;Archiv_der_Kreaturen;01 - Regeln/Archiv der Kreaturen (201);Archiv der Kreaturen - 01 - Regeln.pdf;IMG;;;;;;;;
false;Divinarium;01 - Regeln/Divinarium Liturgia (188);Divinarium Liturgia - 01 - Regeln.pdf;IMG;;;;;;;;
false;Grimorium;01 - Regeln/Grimorum Cantiones (156);Grimorum Cantiones - 01 - Regeln.pdf;IMG;;;;;;;;
false;Kodex_der_Helden;01 - Regeln/Kodex der Helden (154);Kodex der Helden - 01 - Regeln.pdf;IMG;;;;;;;;
false;Kodex_der_Magie;01 - Regeln/Kodex der Magie (155);Kodex der Magie - 01 - Regeln.pdf;IMG;;;;;;;;
false;Kodex_des_Götterwirkens;01 - Regeln/Kodex des Gotterwirkens (174);Kodex des Gotterwirkens - 01 - Regeln.pdf;IMG;;;;;;;;
false;Kodex_des_Schwertes;01 - Regeln/Kodex des Schwertes (171);Kodex des Schwertes - 01 - Regeln.pdf;IMG;;;;;;;;
false;Rohals_Erben;01 - Regeln/Rohals Erben (150);Rohals Erben - 01 - Regeln.pdf;IMG;;;;;;;;
false;Strassenstaub_und_Halsabschneider;01 - Regeln/Strassenstaub & Halsabschneider (149);Strassenstaub & Halsabschneider - 01 - Regeln.pdf;IMG;;;;;;;;
false;Kaiser_Retos_Waffenkammer;02 - Ausrustung/Kaiser Retos Waffenkammer (195);Kaiser Retos Waffenkammer - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Rüstkammer_der_Dampfenden_Dschungel;02 - Ausrustung/Rustkammer der Dampfenden Dschungel (141);Rustkammer der Dampfenden Dschu - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Rüstkammer_der_Sonnenküste;02 - Ausrustung/Rustkammer der Sonnenkuste (136);Rustkammer der Sonnenkuste - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Rüstkammer_der_Streitenden_Königreiche;02 - Ausrustung/Rustkammer der Streitenden Konigrei (227);Rustkammer der Streitenden Koni - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Rüstkammer_der_Wüstenreiche;02 - Ausrustung/Rustkammer des Wustenreiche (134);Rustkammer des Wustenreiche - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Aventurische_Tiergefährten;02 - Ausrustung/Tiergefahrten (133);Tiergefahrten - 02 - Ausrustung.pdf;IMG;;;;;;;;
false;Ära_des_Goldenen_Kaisers;03 - Welt/Ara des Goldenen Kaisers (205);Ara des Goldenen Kaisers - 03 - Welt.pdf;IMG;;;;;;;;
false;Arkane_Schmiede;03 - Welt/Arkane Schmiede und Labore (203);Arkane Schmiede und Labore - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurische_Bibliothek;03 - Welt/Aventurische Bibliothek (132);Aventurische Bibliothek - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurische_Namen;03 - Welt/Aventurische Namen (131);Aventurische Namen - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurisches_Elementarium;03 - Welt/Aventurisches Elementarium (125);Aventurisches Elementarium - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurisches_Nekromanthäum;03 - Welt/Aventurisches Nekromanthaum (123);Aventurisches Nekromanthaum - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurisches_Pandämonium_I;03 - Welt/Aventurisches Pandamonium I (122);Aventurisches Pandamonium I - 03 - Welt.pdf;IMG;;;;;;;;
